EVTERM;Start
15.07.2020;1495.343854
12.03.2020;1496.493854
18.05.2020;1497.027187
01.04.2020;1498.202187
02.04.2020;1498.952187
26.03.2020;1499.752187
23.03.2020;1500.352187
17.03.2020;1505.518854
06.04.2020;1507.518854
18.06.2020;1509.668854
15.07.2020;1519.335521
18.06.2020;1521.485521
18.06.2020;1523.635521
18.06.2020;1525.785521
04.11.2020;1527.410521
09.11.2020;1528.160521
12.11.2020;1529.785521
05.03.2021;1530.535521
22.05.2021;1532.160521
12.04.2021;1532.910521
15.04.2020;1533.910521
15.04.2020;1534.910521
15.04.2020;1536.940521
15.04.2020;1537.940521
18.05.2020;1539.440521
20.10.2020;1540.740521
18.05.2020;1541.946354
30.06.2020;1546.613021
22.05.2020;1549.196354
20.04.2020;1551.871354
16.04.2020;1555.121354
14.04.2020;1555.951354
14.04.2020;1556.964687
27.08.2020;1558.798021
06.04.2020;1561.131354
03.04.2020;1571.414687
11.05.2020;1583.831354
16.04.2020;1584.748021
06.04.2020;1585.623021
03.04.2020;1592.873021
06.07.2020;1595.623021
18.05.2020;1596.673021
27.04.2020;1597.823021
09.07.2020;1598.356354
06.04.2020;1600.643854
14.05.2020;1601.793854
20.04.2020;1602.327187
27.04.2020;1606.077187
23.06.2020;1606.743854
17.06.2020;1608.868854
16.04.2020;1609.402187
02.04.2020;1610.235187
16.04.2020;1611.151854
05.05.2020;1632.160187
25.06.2020;1663.826854
04.05.2020;1688.410187
26.06.2020;1725.576854
22.05.2020;1745.393521
29.06.2020;1775.226854
05.06.2020;1788.443521
30.06.2020;1804.526854
08.06.2020;1817.010187
29.07.2020;1832.176854
27.04.2020;1832.726854
09.07.2020;1833.560187
19.08.2020;1835.530187
08.06.2020;1848.013521
29.07.2020;1863.180187
30.06.2020;1875.663521
03.09.2020;1890.830187
08.05.2020;1910.646854
30.07.2020;1940.480187
11.05.2020;1946.480187
22.05.2020;1952.146854
11.05.2020;1957.730187
14.05.2020;1959.880187
08.05.2020;1967.130187
18.05.2020;1969.880187
15.05.2020;1972.980187
11.05.2020;1974.130187
18.05.2020;1974.663521
28.05.2020;1979.163521
11.05.2020;1982.963521
14.05.2020;1983.663521
18.05.2020;1984.580187
18.05.2020;1985.813521
18.05.2020;1987.813521
05.08.2020;1988.446854
16.06.2020;1995.196854
18.05.2020;1996.738521
09.07.2020;1997.238521
18.06.2020;1997.888521
29.07.2020;1999.363521
07.10.2020;2005.988521
22.05.2020;2007.009354
25.06.2020;2019.492687
10.09.2020;2034.659354
19.08.2020;2047.142687
05.10.2020;2062.309354
20.05.2020;2082.126021
28.07.2020;2111.959354
30.06.2020;2131.776021
20.08.2020;2161.609354
23.06.2020;2162.189354
30.06.2020;2163.106021
24.06.2020;2163.831021
24.06.2020;2164.356021
20.10.2020;2165.306021
09.07.2020;2169.972687
18.06.2020;2170.889354
24.06.2020;2176.639354
18.06.2020;2177.246854
10.06.2020;2178.626854
20.10.2020;2179.226854
24.06.2020;2181.726854
29.07.2020;2184.726854
16.11.2020;2186.431354
22.06.2020;2188.432854
30.06.2020;2189.349521
30.06.2020;2190.266187
05.11.2020;2195.432854
04.11.2020;2197.032854
10.03.2021;2198.632854
15.06.2020;2205.882854
18.06.2020;2209.132854
15.06.2020;2214.299521
29.07.2020;2219.466188
16.06.2020;2221.591188
28.07.2020;2223.716188
28.07.2020;2224.299521
09.07.2020;2225.449521
13.08.2020;2225.982854
03.08.2020;2230.057854
10.08.2020;2230.891187
11.02.2021;2234.966187
19.10.2020;2236.966187
16.06.2020;2238.291187
06.08.2020;2244.877854
